veg_ty,sp,ba_ha_mean,ba_se
E0,Arbutus unedo,0.14399753560764111,0.08375893053254295
E0,Erica arborea,0,0
E0,Eucalyptus globulus,10.640256654313117,1.1881676639841638
E0,Phyllirea latifolia,0,0
E0,Pinus pinea,0,0
E0,Quercus canariensis,0,0
E0,Quercus ilex,0,0
E0,Quercus suber,0.0967999183956928,0.09679991839569278
E10,Arbutus unedo,0.336512218187164,0.336512218187164
E10,Erica arborea,0.017578110401072596,0.017578110401072593
E10,Eucalyptus globulus,8.230896937084692,1.6373978548234163
E10,Phyllirea latifolia,0,0
E10,Pinus pinea,0.06301557341426398,0.06301557341426398
E10,Quercus canariensis,0,0
E10,Quercus ilex,0,0
E10,Quercus suber,0.3430067425414548,0.2367450809100066
E27,Arbutus unedo,0.28100523280484796,0.12897702679606904
E27,Erica arborea,0.056366358413035,0.0386841330666056
E27,Eucalyptus globulus,14.265634820220667,1.8416078507908704
E27,Phyllirea latifolia,0.028203099437082237,0.028203099437082234
E27,Pinus pinea,0.07352259282758034,0.04862451568109395
E27,Quercus canariensis,0.2785138292834346,0.19988405332569786
E27,Quercus ilex,0.4060168410256764,0.1996192178314401
E27,Quercus suber,1.6466837669386405,0.549568799382743
Q,Arbutus unedo,0,0
Q,Erica arborea,0,0
Q,Eucalyptus globulus,0,0
Q,Phyllirea latifolia,0,0
Q,Pinus pinea,0.911249230300053,0.9112492303000529
Q,Quercus canariensis,0,0
Q,Quercus ilex,0.07976634071691482,0.07976634071691482
Q,Quercus suber,12.493508206785144,2.656275732200148
