"forty";"height";"se_height";"cover";"se_cover";"mean_richness";"se_richness";"mean_shannon";"se_shannon"
"E0";1.610857670375;0.128849074395896;0.494375;0.0735905509996261;7.25;0.590096844352082;1.246690919375;0.0919603285055822
"E10";1.6143776095;0.276621078985096;0.56875;0.06875;9;1.38873014965883;1.369935211875;0.15585164008554
"E27";1.86064143075;0.11985749780841;0.78125;0.0582003160276152;8.875;0.66648062880434;1.285589448375;0.125319761890409
"Q";1.08900770825;0.0915184330594128;0.354375;0.0807411953404209;7.25;0.647798469543466;1.458780428125;0.0940282801879681
