"veg_ty";"ba_ha_mean";"se_ba";"mean_density";"se_density";"mean_prop_eg";"se_prop_eg";"mean_richness";"se_richness";"mean_shannon";"se_shannon";"n_plots";"d_media";"d_se";"h_media";"h_se";"health_media";"health_se"
"E0";10.8810541083164;1.28835260598631;537.147932935147;39.6463784801879;0.953685897435897;0.0236155565044871;1.5;0.267261241912424;0.0777683410179895;0.0437846292009508;8;15.4492836605796;1.07925159527834;14.4532080664434;1.06589232176492;2.56412949795303;0.188675021397272
"E10";8.99100958162865;1.89293525857448;477.464829275686;92.9972405322536;0.912698412698413;0.046053549160457;1.625;0.263052140404576;0.207256311968362;0.0823950047201258;8;14.5472447691198;1.11195621389597;10.0240565811523;0.870942603895894;2.11275928932179;0.22835045246791
"E27";17.035946540951;1.54779780460976;755.985979686503;111.367852012745;0.699670266076516;0.0675478272072731;3.5;0.462910049886276;0.547047337217799;0.0948519621620523;8;16.5162588124192;1.04178145612583;11.4127777777778;0.958597714854444;1.70575002169671;0.190876825924495
"Q";13.4845237778021;3.33888096772919;226.795793905951;20.3440148965351;0;0;1.25;0.163663417676994;0.106870576707268;0.0725147813842692;8;25.521066468254;3.15524665940316;7.47932043650794;0.833922648478523;2.61845238095238;0.133237445780876
